datetime,price
2021-03-22 10:50:00,129.56
2021-03-22 10:55:00,129.69
2021-03-22 11:00:00,129.75
2021-03-22 11:05:00,129.47
2021-03-22 11:10:00,129.54
2021-03-22 11:15:00,129.32
2021-03-22 11:20:00,129.3903
2021-03-22 11:25:00,129.3
2021-03-22 11:30:00,129.4643
2021-03-22 11:35:00,129.5788
2021-03-22 11:40:00,129.63
2021-03-22 11:45:00,129.78
2021-03-22 11:50:00,129.675
2021-03-22 11:55:00,129.669
2021-03-22 12:00:00,129.75
2021-03-22 12:05:00,129.75
2021-03-22 12:10:00,129.81
2021-03-22 12:15:00,129.89
2021-03-22 12:20:00,130.02
2021-03-22 12:25:00,129.99
2021-03-22 12:30:00,130.06
2021-03-22 12:35:00,130.0667
2021-03-22 12:40:00,130.2306
2021-03-22 12:45:00,130.25
2021-03-22 12:50:00,130.08
2021-03-22 12:55:00,130.17
2021-03-22 13:00:00,130.1773
2021-03-22 13:05:00,130.12
2021-03-22 13:10:00,130.07
2021-03-22 13:15:00,130.06
2021-03-22 13:20:00,130.18
2021-03-22 13:25:00,130.2
2021-03-22 13:30:00,130.17
2021-03-22 13:35:00,130.25
2021-03-22 13:40:00,130.1415
2021-03-22 13:45:00,130.17
2021-03-22 13:50:00,130.19
2021-03-22 13:55:00,130.14
2021-03-22 14:00:00,130.15
2021-03-22 14:05:00,130.17
2021-03-22 14:10:00,130.36
2021-03-22 14:15:00,130.27
2021-03-22 14:20:00,130.31
2021-03-22 14:25:00,130.305
2021-03-22 14:30:00,130.41
2021-03-22 14:35:00,130.46
2021-03-22 14:40:00,130.577
2021-03-22 14:45:00,130.52
2021-03-22 14:50:00,130.62
2021-03-22 14:55:00,130.6001
2021-03-22 15:00:00,130.51
2021-03-22 15:05:00,130.62
2021-03-22 15:10:00,130.66
2021-03-22 15:15:00,130.68
2021-03-22 15:20:00,130.615
2021-03-22 15:25:00,130.49
2021-03-22 15:30:00,130.33
2021-03-22 15:35:00,130.25
2021-03-22 15:40:00,130.42
2021-03-22 15:45:00,130.145
2021-03-22 15:50:00,130.14
2021-03-22 15:55:00,130.29
2021-03-22 16:00:00,130.55
2021-03-22 16:05:00,130.55
2021-03-22 16:10:00,129.76
2021-03-22 16:20:00,130.49
2021-03-22 16:30:00,130.55
2021-03-22 16:40:00,130.29
2021-03-22 17:00:00,130.72
2021-03-22 17:10:00,130.25
2021-03-22 17:15:00,130.3
2021-03-22 18:30:00,130.32
2021-03-22 18:35:00,130.35
2021-03-22 19:10:00,130.36
2021-03-22 19:40:00,130.36
2021-03-23 08:05:00,130.0
2021-03-23 08:15:00,130.01
2021-03-23 08:20:00,130.54
2021-03-23 08:35:00,130.45
2021-03-23 08:50:00,130.31
2021-03-23 08:55:00,130.01
