time,open,high,low,close,volume
2021-03-30 20:00:00,134.6,134.6,134.6,134.6,150
2021-03-30 19:45:00,134.6,134.6,134.6,134.6,100
2021-03-30 18:45:00,134.55,134.55,134.55,134.55,575
2021-03-30 18:15:00,134.55,134.76,134.55,134.76,416
2021-03-30 17:45:00,134.72,134.72,134.72,134.72,3167
2021-03-30 16:45:00,134.28,134.28,134.28,134.28,100
2021-03-30 16:15:00,134.72,134.72,134.32,134.32,898042
2021-03-30 16:00:00,134.63,134.78,134.39,134.75,371664
2021-03-30 15:45:00,134.8795,134.91,134.6,134.62,129301
2021-03-30 15:30:00,134.701,134.88,134.58,134.88,105512
2021-03-30 15:15:00,134.7,134.92,134.67,134.71,90410
2021-03-30 15:00:00,134.59,134.77,134.53,134.7,83975
2021-03-30 14:45:00,134.75,134.77,134.559,134.61,92464
2021-03-30 14:30:00,134.75,134.85,134.69,134.76,77636
2021-03-30 14:15:00,134.69,134.76,134.545,134.76,73977
2021-03-30 14:00:00,134.6,134.81,134.59,134.705,65187
2021-03-30 13:45:00,134.72,134.72,134.48,134.58,94295
2021-03-30 13:30:00,134.72,134.75,134.61,134.71,64888
2021-03-30 13:15:00,134.35,134.7392,134.28,134.73,68602
2021-03-30 13:00:00,134.25,134.39,134.19,134.34,79229
2021-03-30 12:45:00,134.26,134.44,134.2,134.25,81177
2021-03-30 12:30:00,134.15,134.31,134.02,134.265,129178
2021-03-30 12:15:00,134.5475,134.56,134.12,134.15,139139
2021-03-30 12:00:00,134.46,134.79,134.39,134.58,133290
2021-03-30 11:45:00,134.85,134.8566,134.2627,134.46,212189
2021-03-30 11:30:00,134.955,135.0499,134.78,134.82,229052
2021-03-30 11:15:00,134.95,135.12,134.86,134.97,116458
2021-03-30 11:00:00,135.27,135.345,134.92,134.99,113254
2021-03-30 10:45:00,135.6665,135.68,135.23,135.239,127037
2021-03-30 10:30:00,135.32,135.66,135.2,135.66,136535
2021-03-30 10:15:00,135.24,135.41,134.9795,135.305,134389
2021-03-30 10:00:00,135.4,135.68,134.871,135.255,256941
2021-03-30 09:45:00,135.86,136.27,134.99,135.39,273701
2021-03-30 09:30:00,135.4,135.4,135.4,135.4,205
2021-03-30 09:15:00,135.5,135.5,135.23,135.23,910
2021-03-30 08:15:00,135.42,135.76,135.42,135.53,708
2021-03-30 08:00:00,135.52,135.8,135.52,135.52,701
2021-03-30 07:45:00,135.43,135.55,135.43,135.52,485
2021-03-30 07:30:00,135.43,135.43,135.43,135.43,100
2021-03-30 07:15:00,135.78,135.78,135.78,135.78,345
2021-03-30 05:30:00,135.0,135.0,135.0,135.0,279
2021-03-30 05:15:00,135.83,135.83,135.83,135.83,399
2021-03-29 19:30:00,135.9,135.9,135.9,135.9,1251
2021-03-29 18:15:00,136.0,136.0,135.89,135.89,415
